logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30
0.589,0.299,1.244,00000,10100,01111,01101,00100,01111,00100,01111,01000,10101,01111,01111,01111,01111,01101,00100,01111,00100,01111,01000,10101,01111,11000,00100,11000,10100,11011,11100,11100,11100,11100
1.848,1.421,0.825,00000,10100,01111,01111,01111,00110,10011,01111,00110,01111,00110,01111,00110,11000,00101,11000,00100,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100
0.822,0.524,0.589,00000,01111,01111,01101,01111,10101,01111,01111,01111,01111,01101,11000,01111,10101,10101,11000,00001,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100
2.349,2.543,2.351,00000,01111,10101,01111,00110,01101,01111,10000,01111,01101,01111,10101,00110,01101,11000,01111,01000,01111,01101,11000,10101,01111,00110,11000,10100,10000,11011,11100,11100,11100,11100
1.824,0.972,0.589,00000,10100,01111,01111,00110,10011,01111,00110,01111,00110,01111,00110,11000,00101,11000,00100,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100
2.378,1.795,2.352,00000,01100,01111,00110,01111,00110,01111,01111,00110,01101,00001,10011,01111,11000,00101,01010,01101,01111,10100,01111,01111,11000,01110,11011,11100,11100,11100,11100,11100,11100,11100
1.923,1.87,1.615,00000,10101,01111,00111,10011,01111,01101,10101,11010,01111,01111,00110,01111,00110,01111,00110,11000,00100,00111,11000,00111,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100
1.521,1.795,1.194,00000,01111,01111,01101,01111,01111,10101,01111,00111,10101,01111,00110,11000,01101,01111,10100,01111,01111,11000,00100,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100
1.475,0.748,1.328,00000,10101,00110,01111,00110,01111,00100,01111,01000,01111,00110,01101,01111,10101,01111,00110,01111,01101,01111,10101,00110,11000,01110,11000,00111,11011,11100,11100,11100,11100,11100
2.098,1.945,1.346,00000,01111,00110,01111,00110,01101,00010,01111,11010,01111,00110,10011,10100,00111,11000,01101,01111,00110,11000,00111,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100
1.865,0.898,0.489,00000,01111,01111,01111,01111,01111,01111,01111,01111,01101,01111,10100,00111,11000,00001,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100,11100
0.909,0.823,1.328,00000,10100,01111,00110,01111,00110,01101,00101,11010,01101,01111,10100,00100,01111,01000,01000,01111,00110,11000,00010,10001,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100
1.603,1.945,1.396,00000,10101,01111,01111,01111,01111,00110,01111,00110,01101,00100,01111,00110,11000,00100,10101,01111,01111,10101,11000,01110,11011,11100,11100,11100,11100,11100,11100,11100,11100,11100
1.072,1.272,1.496,00000,01111,01111,01101,00100,01111,00100,01111,01000,10101,01111,01111,01111,01111,01101,11001,10101,11000,01101,01111,11000,00010,01111,00100,01111,01000,10101,11011,11100,11100,11100
2.617,2.768,2.143,00000,10101,01111,00111,01111,00110,01101,00111,11010,01111,00110,01111,00110,01101,01111,10000,01111,00110,11000,00001,01111,00111,11000,00110,11011,11100,11100,11100,11100,11100,11100
