logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30
1.238,2.319,1.844,00000,10110,00111,01110,10110,10101,10000,10000,10101,10000,00111,10101,00111,11001,01110,10000,00111,10000,00111,10110,11001,01110,11100,11101,11101,11101,11101,11101,11101,11101,11101
1.761,1.496,1.118,00000,10000,10000,10101,10000,10000,00111,10000,00111,10000,01110,10000,10010,00111,11001,00001,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.457,0.823,1.216,00000,10101,10000,01000,10000,10000,10000,10000,00111,10000,00111,10000,00111,11001,00101,11001,10110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.314,1.421,1.523,00000,10000,10000,10101,10000,10000,10000,10110,10101,00111,01110,11001,10110,10000,10000,01011,00001,10000,11001,10110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
0.903,0.748,1.621,00000,10101,10000,10000,00111,10000,00111,10101,00111,01110,10000,10101,10101,00111,01110,10000,10101,10000,11001,01111,00111,11001,10101,11100,11101,11101,11101,11101,11101,11101,11101
1.786,2.02,1.608,00000,10000,10000,10000,10000,00111,10000,00111,01110,01111,10000,01000,10000,10000,10101,11001,01110,10000,00111,11001,10110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.325,2.094,1.929,00000,10000,10110,10000,00111,10000,00111,01110,11001,10110,10000,10000,01110,00010,10000,01110,10000,10110,10000,01110,10000,10000,10101,00111,11001,01000,11100,11101,11101,11101,11101
2.223,1.197,1.594,00000,10000,10000,00111,00111,10000,10101,01110,10000,10000,10000,10000,00111,10000,00111,10000,00111,11001,00101,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.578,1.122,0.867,00000,10000,10000,01110,10000,10101,10000,10000,00111,10000,00111,10000,00111,11001,00101,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.472,1.272,1.607,00000,10101,00011,10101,10000,10000,01110,10110,10110,10000,10000,00111,10000,00111,10000,00111,11001,00101,10000,11001,10101,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.117,0.972,1.565,00000,10101,00011,10000,00111,10000,00111,10101,00111,01110,10000,10101,10101,00111,01110,10000,10101,10000,11001,01111,00111,11001,10101,11100,11101,11101,11101,11101,11101,11101,11101
1.096,1.047,1.621,00000,10101,10000,10000,10000,00111,10000,00111,10000,10101,00111,01110,10000,10110,10101,01110,00101,10000,11001,00010,01011,00101,10000,11001,01000,11100,11101,11101,11101,11101,11101
0.746,1.272,1.509,00000,10110,10000,10000,01000,10110,10000,01110,00110,10000,00111,10000,10000,10101,10000,11001,00101,01000,11001,10110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
2.324,1.795,2.351,00000,10110,00111,01110,10000,10110,10000,00111,01110,10000,10110,10000,01110,10000,10001,00111,10000,01110,10000,10001,00111,11001,00110,10001,11100,11101,11101,11101,11101,11101,11101
1.715,0.972,1.244,00000,10000,10101,10000,10000,10000,10000,11001,01110,10000,00111,10000,00111,10101,00111,11001,00101,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.198,0.224,2.065,00000,10101,11000,00101,10000,01001,01110,10000,10110,10101,01110,11010,10000,10000,10001,10000,10000,10001,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.553,1.421,1.929,00000,10000,10000,10000,00111,01110,00011,10101,10000,00101,10000,01001,10000,10000,10000,11001,11001,01110,10000,10000,10000,10000,00101,10000,01001,10110,11100,11101,11101,11101,11101
1.157,1.272,1.831,00000,10101,00011,10000,01000,10110,10000,01110,01000,10000,10000,10101,10000,10000,10000,11001,00101,10000,10000,11001,00101,01000,11001,01000,11100,11101,11101,11101,11101,11101,11101
1.157,0.972,1.537,00000,10000,10000,00111,01110,10101,10101,10000,00101,10000,01001,10000,10000,10000,11001,11001,10000,10000,00101,10000,01001,10110,11100,11101,11101,11101,11101,11101,11101,11101,11101
1.117,2.319,2.152,00000,10101,11011,00101,10000,01001,00101,10000,01001,10110,10000,00111,10000,00111,10000,00101,11010,00111,11001,00101,10110,10000,10000,00111,11001,00001,11100,11101,11101,11101,11101
1.817,2.842,2.401,00000,10110,00111,01110,10000,10110,10000,10110,10000,10000,00111,10000,00111,01110,10000,01101,10000,00111,11001,00001,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.878,2.02,1.817,00000,10101,00011,10000,10000,10000,10000,00111,10000,00111,01110,00101,10000,00111,11001,00101,10110,10000,10000,10110,11001,01111,11100,11101,11101,11101,11101,11101,11101,11101,11101
1.431,1.72,1.816,00000,10000,10000,00101,10000,01001,10101,10000,01000,10000,01110,10000,10110,00111,10000,00111,10000,00111,10000,11001,00101,01000,11001,10110,11100,11101,11101,11101,11101,11101,11101
1.619,1.945,1.636,00000,10000,10000,10000,00111,10000,00111,10000,00111,11001,00101,10101,10000,10000,10101,10000,10000,11001,00101,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.101,0.748,1.663,00000,10110,10000,00111,10000,00111,01110,00110,10000,10000,10000,10101,10000,01000,11001,01110,10000,00111,11001,10101,10110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.32,1.87,1.439,00000,10000,00111,10000,00111,01110,00010,10110,10000,10000,01000,10000,10000,10101,11001,01110,10000,00111,11001,01000,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
0.152,0.449,1.495,00000,10101,10000,01000,10101,00111,01110,00110,11011,01110,10000,10101,00101,10000,01001,01001,11011,11001,00110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
2.812,0.972,1.613,00000,10001,10000,00111,10000,00111,01110,00110,10000,00111,10000,00111,10000,00111,11001,00101,10000,00111,11001,10101,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.411,1.945,1.691,00000,10110,10000,10000,10000,10000,00111,10000,00111,01110,00101,10000,00111,11001,00101,10110,10000,10000,10110,11001,01111,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.873,1.197,1.831,00000,10000,00111,10000,00111,10000,00111,01110,10000,10000,10000,01110,01110,10000,10000,11001,11001,10000,01110,10000,10000,01110,10000,10110,10000,11001,10110,01001,11100,11101,11101
1.518,2.094,1.635,00000,10000,10000,01110,00010,10110,10000,00111,10000,00111,10000,00111,11001,00101,10000,01000,10000,10000,10101,11001,01110,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.609,0.598,0.923,00000,10000,10101,10000,10000,10000,10000,10000,01110,11010,10000,11001,01110,10000,11001,00001,10000,11100,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101,11101
1.68,2.693,2.158,00000,10000,10000,00101,10000,01001,10101,01110,00001,10000,10000,00101,10000,01001,10110,10000,00111,10000,00111,01110,10000,10001,10000,00111,11001,00001,11100,11101,11101,11101,11101
