Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][C][Branch1][Branch1][C][C][C][Branch1][C],CCCCC,2.2,0.47,72.09,Valid
2,[N][C][C][=Branch1][C][S][N][C][C][=C][C][C][=C][=N][Ring1][I],NCC(S)NCC=CCC=C=N,0.54,0.21,185.1,Valid
3,[C][C][N][C][C][=C][N][C][Branch1][C][C][C][#Branch2][Branch2],CCNCC=CNC(C)C,1.11,0.56,142.15,Valid
4,[C][C][N][C][C][Branch1][=N][C][=Ring1][N][C][O][N][C],C=1CNCCC=1CONC,0.06,0.43,142.11,Valid
5,[=N][C][S][C][C][O][C][C][C][C][C][C][=P][N][#Branch2][S][C][Ring1][Ring2][O][#Branch2],NCSCCOCCCCC1C=PN1,1.46,0.36,234.1,Valid
6,[C][C][C][C][=C][C][=O][C][C][C][C],CCCC=CC=O,1.54,0.39,98.07,Valid
7,[C][C][C][C][C][C][=C][C][O][C][C][C][=N][P][N],CCCCCC=CCOCCC=NPN,3.07,0.27,230.15,Valid
8,[C][C][=C][C][=C][C][Branch1][C][Branch1][C][=C][Ring1][=Branch1],CC=C1C=CCC=C1,2.45,0.44,106.08,Valid
9,[C][C][=C][=Branch1][O],CC=C,1.19,0.36,42.05,Valid
10,[Branch1][C][=C][C][#Branch1][C][C][=C][Branch1][C][C][C][=PH1][#N][C],C=CC(C)C(C)C=[PH1]=NC,2.74,0.44,157.1,Valid
11,[C][C][C][O][C][C][C][C][C][C][C][Ring1][#Branch1][#Branch2],CCCOC1CCCCCC1,3.14,0.57,156.15,Valid
12,[C][C][C][C][C][=C][Ring1][=Branch1][C][C][N][=C][Ring1][#Branch1],C1CCC2C=C1CCN=C2,2.19,0.45,135.1,Valid
13,[N][C][C][=C][C][=C][C][Branch1][C][N],NCC=CC=CCN,0.02,0.51,112.1,Valid
14,[C][=N][N][C][C][C][C][N][C][C][=C][C][=C][N][C][=N][Ring1][#N][P][=Branch2][S],C=NNCCCCNCC=CC=CNC#N,0.7,0.13,221.16,Valid
15,[O][C][C][Branch1][C][C][C][C][Branch1][C][C][C][Ring1][=Branch2][S][C][O][Branch1][H][Br][Ring1][P][Branch2][H][H][#N][Branch1][C][C][Ring1][Br][=P],O1CC(C)CC(C)C1SCO[H],1.69,0.65,176.09,Valid
16,[C][C][C][C][C][N][PH1][=Branch1][C][C],CCCCCN[PH1]C,1.99,0.45,133.1,Valid
17,[C][C][Ring1][Ring1][=P][#N][C][C][C][C][C][=N][#Branch2][Cl][Ring1][=Branch1][Ring2][#Branch1][=Ring1][#N][C][Br][H][N][S][#Branch2][F][=Branch2][Ring2][#N][=P][O],C=C=P#N,1.0,0.39,70.99,Valid
18,[C][C][=C][C][=C][C][C][=C][C][C][C][=C][=P][S][Ring2][C][C][C][Ring1][Ring1][=P][#Branch1][=C][=S][Branch2][P][=Ring1][#Branch2][=Branch1][Ring1][C][PH1],CC=CC=CCC=CCCC=C=P1=SC1=P#S,4.91,0.22,300.03,Valid
19,[=C][C][=C][C][#Branch2][C][C][C][C][C],CC=CC(C)CC,2.61,0.47,98.11,Valid
20,[=C][C][=Branch2][C][C][C][C][C][C][=C][Ring1][=Branch1][O][=Branch2],CC1(C)CCC=C1O,2.25,0.51,112.09,Valid
21,[C][=C][C][C][O][C][C][C][=N][C][C][S][Ring1][#Branch2],C=CC1COCCC=NCCS1,1.77,0.58,185.09,Valid
22,[N][#C][O][=Branch1][C][C][C][=C][Ring1][=Branch1][C][PH1][#Branch1][Br][=N],N#COCCC=CC[PH1]=N,1.87,0.29,157.05,Valid
23,[C][C][C][=C][C][=O][=N][C][=C][C][C][C][C][=C][Cl][=P][#Branch2][N],CCC=CC=O,1.15,0.36,84.06,Valid
24,[C][=N][C][S][C][Branch1][Ring1][#Branch1][#Branch1],C=NCSC,1.01,0.46,89.03,Valid
25,[C][C][C][C][S][C][C][C][Ring1],CCCCSCC=C,2.71,0.41,130.08,Valid
26,[C][=C][C][Cl][=S][C][=C][C][=Branch1][=C][C][=C][=N][N][C][C][=P][Ring1][H][PH1][H][Branch1][S][Br][=P][Ring1][=P][Cl][=N][#Branch2][=Branch2][PH1],C=CCCl,1.41,0.33,76.01,Valid
27,[C][C][=C][C][=C][C][O][C][C][C][C][N][C][Ring1][=O][Branch1][#N][NH1][C][=N],CC=CC=CCOCCCCN=C([NH1])C=N,2.25,0.28,222.16,Valid
28,[C][C][C][=C][C][Branch1][C][N][C][C][=N][C][=C][#N][N][C][S][Ring1][S][N][=C][N][=N][=P][C][O][Cl][S][Ring1][N][Cl][Ring1],C1CC=CC(N)CC=NC=C=NNCS1N=CN=NPCOCl,2.5,0.13,377.1,Valid
29,[Branch1][C][=C][O][C][C][C][C][C][C][C][C][S][Ring1][#Branch2][Ring1][O][S],C=C1OCCCCCCCCS1S,3.67,0.47,220.1,Valid
30,[C][C][=C][C][C][=C][C][C][C][C][=C][C][Ring1][#C][Ring1][#Branch1][O][#Branch2],C1C=CCC=C2CCCC=CC12O,2.73,0.56,176.12,Valid
31,[C][=C][C][N][C][C][S][C][C][N][C][C][Branch1][C][C][C],C=CCNCCSCCNCC(C)C,1.74,0.43,216.17,Valid
32,[C],C,0.64,0.36,16.03,Valid
33,[O][Branch1][C][C][C][C][C][=C][C][=C][C][C][Ring1][=N][Ring1][Br][=C],O(C)CCC=CC=CC=CC,2.71,0.43,152.12,Valid
34,[C][O][=C][C][C][C][Ring1][=Branch1][C][C][C][C][Ring1][#C][O][Br],C12OCCCC1CCCC2OBr,2.66,0.7,234.03,Valid
35,[C][C][#Branch1][=N],CC,1.03,0.37,30.05,Valid
36,[C][N][C][=C][C][C][C][C][C][C][C][C][C][C],CNC=CCCCCCCCCCC,4.25,0.52,197.21,Valid
37,[C][C][=N][C][N][C][C][=C][Ring1][Branch1],CC=NC1NCC=C1,0.56,0.39,110.08,Valid
38,[C][C][C][O][C][C][C][C][C][C][C][=C][Ring1][=C][C][=C][Branch1][#Branch1][=S][=O],C1CCOCCCCCCC=C1C=CS=O,3.13,0.75,242.13,Valid
39,[C][C][C][C][C][=N][=O][C][C][C][C][=C],CCCCC=NOCCCC=C,3.15,0.24,169.15,Valid
40,[N][C][C][C][=P][=C][C][C][C][=C][C],NCCC=P=CCCC=CC,1.97,0.38,171.12,Valid
41,[C][C][C][=C][C][=C][C][=C][=Ring1][=N][C][Ring1][#Branch1],C=1CC=CC=CC=C=1,2.21,0.41,104.06,Valid
42,[C][C][C][C][=C][C][=C][C][=C],CCCC=CC=CC=C,3.08,0.5,122.11,Valid
43,[C][C][C][C][C][C][=C][C][=C][C][=C][O][C][S][Ring2][P][#Branch1][=P][N][S],C1CCCCC=CC=CC=COCS1=PNS,3.99,0.56,289.07,Valid
44,[C][C][S][C][C][C][=C][C][=C][C][=C][C],CCSCCC=CC=CC=CC,3.82,0.44,182.11,Valid
45,[C][=Ring1][=S][N][C][=C][C][C][=C][C][C],CNC=CCC=CCC,2.08,0.57,125.12,Valid
46,[C][C][C][C][C][C][C][Branch2],CCCCCCC,2.98,0.48,100.13,Valid
47,[C][C][O][O][C][C][C][P][#Branch1][O][C][O][C][Ring1][Br][Ring1][#Branch2][=N][Cl][S][Branch1][=N][=N][Ring1][Branch1][S][S][S][#Branch1][#N][#N][Ring1],CC1OOCCCP(COC12NCl)N=N2,1.96,0.44,253.04,Valid
48,[=Branch1][F][=Branch1][C][N][=P][=S][C][C][=C][C][PH1][S][Ring1][=S][=S][PH1][=S][S],FCN=P=SCC=CC[PH1]=S=S[PH1]=SS,2.64,0.18,360.9,Valid
49,[C][=C][C][=C][C][C][O][=C][C][=C][C][C][=C][C][I],C=CC=CCCOCC=CCC=CCI,4.07,0.2,318.05,Valid
50,[C][=C][C][=Branch2][C][C][C][C][Ring1][=C][C][C][C][=C],C1=CC(C)C1CCC=C,2.77,0.5,122.11,Valid
51,[C][=C][C][C][=C][C][=PH1][Ring1][=Branch1][C][=C][=Ring1][I][C][C],C=C1CC=CC=[PH1]1C#C,2.07,0.35,136.04,Valid
52,[=O][O][C][C][C][C][N][C][C][Ring1][Branch1][#Branch1][C][O][C][C][#Branch1],OOCCC1CNCC1(O)CC,0.23,0.42,175.12,Valid
53,[O][C][=C][C][=C][C][=C][Ring1][=N][C][C][Cl][Ring1][#Branch1],O1C=CC=CC=C1CCCl,2.6,0.56,156.03,Valid
54,[C][=C][Branch1][C][=Branch1],C=C,0.8,0.34,28.03,Valid
55,[C][C][C][C][C][N][C][=C][C][O][C][C][N][Br][#Branch2],CCCCCNC=CCOCCNBr,2.2,0.47,264.08,Valid
56,[C][=C][C][=C][C][=C][C][=C][Branch1][C][C][C][=N],C=CC=CC=CC=C(C)C=N,2.88,0.47,147.1,Valid
57,[C][F][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#C][O][=N],CF,0.59,0.37,34.02,Valid
58,[C][C][C][=N][C][C][C][Ring1][N][C][Ring1][#N][S][C][C][C],C1CC=NCCC1=CSCCC,3.27,0.61,183.11,Valid
59,[C][C][Cl][Branch1][C][C][C][C][=C][C][C][C][S][C][C][C][Branch2][=C][=Ring1][Cl][O],CCCl,1.25,0.37,64.01,Valid
60,[Ring1][#Branch1][=C][Branch1][C][N][C][C][C][C][C][=N][Ring1][#Branch1][Ring2][=P][=Branch2][Cl][=Ring1][Cl][=N][#Branch2][#N][Cl][=P][=C][N][S][Ring2][#C][S][Br],C(N1)CCCCC=N1,1.14,0.5,112.1,Valid
61,[C][C][C][N][C][N][=C][C][=C][C][=C][=N][Ring1][#Branch1][N],CCCNCN=CC=CC=C=N,1.38,0.35,165.13,Valid
62,[C][N][C][C][=C][C][N][C][Branch1][C][Ring1][O][=N][Branch1][S][Ring1][=Branch1][C],C1NCC=C2CNC1=NS2C,0.02,0.45,171.08,Valid
63,[C][C][C][C][C][=Branch1][C][O][=N][S][Ring1][=P][=Branch2],CCCCC(O)N=S,1.23,0.63,133.06,Valid
64,[C][=C][C][=C][C][=Branch1][=P][=P][=P][O][Ring1][I][Cl][S][C][C][#Branch1][#N][Branch1][=S][#Branch1][=P][O][Br][Cl][=P][=Branch2][H][C][#Branch1][=N],C=CC=CC(=P)P=O,2.29,0.44,143.99,Valid
65,[NH1][=Ring1][C][C][=Branch2][C][=C][C][=C][C][=C][Cl],[NH1],-0.27,0.34,15.01,Valid
66,[C][O][C][Cl][=C][C][=C][C][Branch2],COCCl,0.83,0.42,80.0,Valid
67,[NH1][C][=C][C][=C][C][Branch2][#Branch2],[NH1]C=CC=CC,1.36,0.43,82.07,Valid
68,[NH1][C][=C][C][C][=C][N][Branch1][Branch1][C][C][C][C][S][C],[NH1]C=CCC=CN(CCCC)SC,3.07,0.59,199.13,Valid
69,[C][N][=Branch1][C][=C][Ring1][#Branch1][O],C=NC,0.32,0.35,43.04,Valid
70,[O][C][N][C][C][C][=C][C][#C][Ring1][#Branch2][O][Ring1][=N][#C][#C][PH1],O1CNCCC=CC#C1,0.47,0.47,123.07,Valid
71,[C][=Branch1][C][N][C][C][C][C][C][=C][C][C][=O][S][Ring1][N][Br][#Branch1][#C],C(N)CCCCC=CCC=O,1.65,0.34,155.13,Valid
72,[O][C][C][=C][C][C][C][N][C][C][C][Branch1][S][Branch1][C][N][C][=S],OCC=CCCCNCCCCNC=S,1.23,0.28,230.15,Valid
73,[C][C][C][S][C][C][C][C][=N][N],CCCSCCCC=NN,1.85,0.28,160.1,Valid
74,[C][O][C][Branch1][Branch1][C][C][C][O][C][=C][C][=O][F],COC(CCCO)C=CC=O,0.53,0.45,158.09,Valid
75,[C][C][C][=C][C][C][C][C][Ring1][#Branch2][Ring1][#Branch2][=C][C][=C][S],C=1CC=CCCCC=1CC=CS,3.88,0.48,180.1,Valid
76,[C][C][C][C][C][=C][Ring1][Branch1][C][=C][Ring1][=Branch1][Br][C][O],CC1C2CC=C1C=C2Br,2.86,0.54,183.99,Valid
77,[C][C][C][C][C][=C][C][C][C][C][=C][C][=O][#Branch1],CCCCC=CCCCC=CC=O,3.66,0.24,180.15,Valid
78,[N][C][C][C][N][=C][=Ring1][O][C][C][F][C][Cl][O],N=1CCCN=C=1,0.56,0.41,82.05,Valid
79,[C][N][C][=C][Ring1][C][C][N][C][C][=O],CNC#CCNCC=O,-1.04,0.22,126.08,Valid
80,[C][C][N][C][=C][C][=C][Branch1][C][C][=O][#N],CCNC=CC=C(C)ON,0.9,0.35,142.11,Valid
81,[C][=N][=O][C][C][=C],C=NOCC=C,0.8,0.21,85.05,Valid
82,[C][C][O][=Branch1][C][C][=N][C][=C][C][C][C][C][C][C][=N][PH1][=Branch1][C],CCOCC=NC=CCCCCCC=N[PH1],3.69,0.33,241.15,Valid
83,[Ring1][C][C][C][Cl][C][C][C][C][C][C][O][=S],CCCCl,1.64,0.42,78.02,Valid
84,[C][C][O][O][=O][C][C][C][C][O][=O][Branch2][O][Cl][S][C][=C][=C][#Branch1][Ring2][#Branch1][S][F][C][Ring1][C][=P][Br][NH1],CCOOOCCCCOOOCl,1.7,0.31,216.04,Valid
85,[C][C][=C][C][C][C][=O][C][C][C][C][=C][C][=C][PH1][=Branch1][NH1],CC=CCCC=O,1.54,0.3,98.07,Valid
86,[C][C][C][C][C][C][C][N][C][=C][C][N][I][H][Cl],CCCCCCCNC=CCNI,3.0,0.39,296.07,Valid
87,[S][C][C][C][C][N][C][C][C][C][C][N][C][N][#Branch1][H][S][S][C],SCCCCNCCCCCNCN(S)SC,2.43,0.18,297.14,Valid
88,[=O][C][C][Branch1][C][C][=C][Ring1][=Branch1][C][C][C],O1CC(C)=C1CCC,2.09,0.53,112.09,Valid
89,[C][S][C][C][O][N][C][=C][C][C][Ring1],CSCCONC=CC=C,1.57,0.36,159.07,Valid
90,[NH1][C][C][=P][Branch1][C][=C][C][C][C][C][C][Branch1],[NH1]CC=P(C)CCCCC,2.11,0.43,160.13,Valid
91,[=O][C][C][C][C][C][C][=C][=C][C][C][C][C][=S][=Branch1][=N][Ring1][S][#N],O1CCCCCC=C=CCCCC=S1N,3.32,0.51,227.13,Valid
92,[C][=C][C][C][Cl][Branch1][C][=C][C],C=CCCCl,1.8,0.36,90.02,Valid
93,[Cl][=O][C][C][=C][C][=C][C][=C][Ring1][S][N][Ring1][O],ClOCC=CC=CC=CN,1.74,0.63,159.05,Valid
94,[C][Cl][=C][C][S][C][C][N][C][C][Cl][N][C][Ring1][N][=S][#Branch1],CCl,0.86,0.36,49.99,Valid
95,[=C][C][C][C][C][C][N][C][C][C][=Branch1][C][#Branch2],CCCCCCNCCC,2.57,0.54,143.17,Valid
96,[C][=C][=Branch1][N][Ring1][=P][Ring1][#Branch2][O][C][C][C][O][=C],C#C,0.25,0.33,26.02,Valid
97,[H][C][C][S][C][C][C][C][=C][Branch1][NH1][C][C][C][S][Ring1][#C][Ring1][=Branch1][N][H][C][=N][H][C][Ring1][Ring1][#N][H][C][N][=P],[H]CCSCCCC1=C(C)CCS1N[H],3.07,0.55,219.11,Valid
98,[N][Branch1][C][C][C][C][C][C][Ring1][=C][C][=C][C][=C],N1(C)CCCC1C=CC=C,1.82,0.52,137.12,Valid
99,[=C][C][Br][C][C][C][C][C][N][C][Branch1][C][=C][O][=C],CCBr,1.4,0.41,107.96,Valid
100,[N][C][C][C][N][C][=C],NCCCNC=C,0.07,0.49,100.1,Valid
