Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][PH1][=N][#N][=N][Ring1][H][=P][Br],C[PH1]=NN=N,1.42,0.29,90.02,Valid
2,[N][=N][C][#Branch1][Branch2],N=NC,0.65,0.39,44.04,Valid
3,[N][=P][Ring1][N][O][#N][O][=P][Branch2][=Branch1][=S][=P][#Branch1][=N][Ring1][S],N#PONOPP,0.9,0.38,157.96,Valid
4,[C][NH1][S][C][O][=PH1][#Branch2][C][=N][N][C][O][C][Br],C[NH1]SCO[PH1]NCOCBr,1.25,0.23,261.95,Valid
5,[=Branch2][=N],N,0.16,0.4,17.03,Valid
6,[C][NH1][=S][=P][#Branch2][Branch1][C][=S][Branch1][C][N],C[NH1]S=P=SN,-0.87,0.29,143.99,Valid
7,[C][=Ring1][O][Cl][=S][C][=C][Cl][Ring1][=N][N][=P][=Branch2][Branch2][N][S][NH1][C][=P][O][C][Ring1][#Branch1][H][F][=C][=C][P][Branch1][#Branch2][Ring1][Ring2],CCl,0.86,0.36,49.99,Valid
8,[C][P][#N][H][=Branch1][=S][Branch1][#N][=C][Ring1][#N][P][=N][S][S][=O][Ring1][PH1][S][H][=C][#N][=C][=C][#N][F][#Branch2][#Branch2][H][C][N][S],CP#N,0.77,0.38,61.01,Valid
9,[C][=O][#N][#Branch1][S],C=O,-0.18,0.36,30.01,Valid
10,[=C][=P][=C][=Branch2][#Branch1][=P][=P][#Branch1][#N][C][Branch1][=C][=Branch2][#N][=N],C=P=CP(C)C,1.6,0.46,120.03,Valid
11,[C][H][C][S][O][O][I][H][S][O][Br][Ring1][#Branch2][#Branch2][Ring1][H][N],C[H],0.64,0.36,16.03,Valid
12,[C][NH1][C][=S][Ring2][=Branch1][Ring2][=P][Branch2][C][Ring1][#N][H][#Branch1],C1[NH1]C=S1=PN[H],-0.61,0.23,122.01,Valid
13,[O][C][=P][#Branch2][N][=C][=C][I][=C][S][S][Br][H][=S][F][H][=C][=S],OC=P=CI,0.99,0.46,201.9,Valid
14,[C][=C],C=C,0.8,0.34,28.03,Valid
15,[Ring1][H][Br][=P][=C][=S][C][=S][=Branch2][#N][=P][Br][N][=P][N][=P][Cl][=C][Br][=C][N][Ring1][Cl][H][O][#Branch2][=P][Cl][C][PH1][=S][=C],[H]Br,0.58,0.4,79.93,Valid
16,[C][N][O][NH1][Ring1][Ring1][O][=P][=C][C],CN1O[NH1]1,-0.05,0.45,60.03,Valid
17,[C][Ring1],C,0.64,0.36,16.03,Valid
18,[C][=N][=C][O][=Ring1][#N][O][#N][Cl][NH1][C][#Branch2][=C],C=NC=O,-0.16,0.3,57.02,Valid
19,[=Branch1][C][Cl][Cl][#Branch1][Cl][O][=S][H][Br],CCl,0.86,0.36,49.99,Valid
20,[=Branch1][#N][#Branch2][O][H][=S][O][NH1][N][#Branch2][S][=O][Branch1][#N][N][=P][C][=C][#Branch1][#Branch1][#Branch1][N][Ring1][O][=N][#C][P][Br][=C][=C][Br][=N],N1=SO[NH1]NNN=PC=C(N1N=C)PBr,1.11,0.35,330.92,Valid
21,[C][#Branch2][Ring2][Ring1],C,0.64,0.36,16.03,Valid
22,[N][#Branch1][S][#Branch1][NH1][NH1][=O][=Branch1][P][Br][C][Ring1][#Branch1][=N][=N],N([NH1])OPBr,0.61,0.47,156.92,Valid
23,[Cl][=P][C][#C][=N][Br][#N][#N][=Branch1][C][H][Br][=P][#N][Br][=Branch2][#N][=Ring1][S][Cl][=PH1][Cl][PH1][=O][N][Ring1][F][=N][Cl][=P][N][#Branch1],ClPC#CNBr,1.64,0.26,184.88,Valid
24,[C][=C][C],C=CC,1.19,0.36,42.05,Valid
25,[=N][Ring1][PH1][=Ring1],N,0.16,0.4,17.03,Valid
26,[Branch1][#Branch2][=Branch1][P][=N][N][=C][C][#Branch2][#Branch1][=P][=C][#N][C][Branch1][=S][=C],P=NN=CC=C=NCC,1.54,0.32,141.05,Valid
27,[C][=O][#C][N][#Branch2][=S][S][Branch1][O][=S][Branch2][O][=O][O][C][Cl][#Branch2][H][C][=C][Ring2][Branch1][Cl][Cl][=N][C][O][=Ring1],C=O,-0.18,0.36,30.01,Valid
28,[C][F][N][=Branch1][C][Branch2][S][P][Cl][=N][=C][=N][#N][#C][Cl][Br][NH1][O][S][P][=N][I][=O][=O][N][N][Cl][Ring1][NH1][P][C][PH1],CF,0.59,0.37,34.02,Valid
29,[=C][NH1][=N][S][C][H][C][H][C][Br][O][C][P][O][=Branch2][C][Ring1][PH1],C[NH1]NSC[H],-0.01,0.37,92.04,Valid
30,[C][C][=C][C][Ring1][=Branch1][C][N][I][Branch1][#Branch1][C][Ring1][=C][Br][#Branch1][Cl][#Branch1][Ring1][#N][C][F][N][=Ring1][=S][=C][=C][Branch1][=P][Cl][=S][Cl],C1C=CC1CNI,1.5,0.41,208.97,Valid
31,[C][#Branch2][Br][S][Br][PH1],CBr,1.01,0.39,93.94,Valid
32,[C],C,0.64,0.36,16.03,Valid
33,[Ring1][=Ring1][=PH1][=Ring1][N][N][O][#Branch2][=PH1][=Ring1][NH1][I][N][=S][Cl][Cl][=Branch1][Ring1][=S][C][Branch1][H][C][C][F][H][=Branch1][N][C][Branch1][#C],[PH1]NO[PH1]I,1.51,0.43,221.87,Valid
34,[C],C,0.64,0.36,16.03,Valid
35,[C][P][#Branch1][#Branch2],CP,0.49,0.35,48.01,Valid
36,[C],C,0.64,0.36,16.03,Valid
37,[C][=S][=N][Branch1][S][=S][Cl][=C][S][PH1][Ring1][=N][PH1][Br][=S][Ring1][Br][Ring1][#N][#C][#Branch2][S][O][#Branch2][=N][#Branch1],C=S=NS=SCl,0.3,0.31,160.92,Valid
38,[C][NH1][C],C[NH1]C,-0.16,0.4,45.06,Valid
39,[C][Cl][N][Ring1][F][=C][#N][Br][Cl][=S][=P][#N],CCl,0.86,0.36,49.99,Valid
40,[N][PH1][O][=S][=C][=S][=C][S][I][#Branch2][C],N[PH1]OS=C=S=CSI,2.06,0.36,312.83,Valid
41,[Branch1][Cl][C][#N][S][=N][Cl][=N][#Branch2][=Ring1][#N][Ring1][#C][I][N][#Branch1][O][#N][P][Br][#Branch2][PH1][=Ring1],ClC#N,0.71,0.4,60.97,Valid
42,[C][C][C][P][#N][=P][#Branch2][Br][Br],CCCP#N,1.55,0.45,89.04,Valid
43,[N][H][=S][H][C][I][#N][=Branch2][=S][H][=N][N][=PH1][PH1][O][PH1][#Branch2][=N][H][S][Ring1][#N][Ring2][Cl][=N][=O][=C][C][C][Ring2][S][#Branch1],N[H],0.16,0.4,17.03,Valid
44,[C][=S],C=S,0.62,0.36,45.99,Valid
45,[C][=C][C][S][Ring1][#N][H][H][=Branch1][Br][Cl],C=CC=S[H],0.64,0.32,74.02,Valid
46,[=Ring1][Branch2][C][N][Ring1][=N][C][=O][S][=P][=S][H][N][=Branch2][=C][O][F],C=NC=O,-0.16,0.3,57.02,Valid
47,[C][=S],C=S,0.62,0.36,45.99,Valid
48,[#Branch2][Ring1][#Branch2][=N][Ring1][#Branch2][=S][C][F][#Branch2][=PH1][Ring1][S][O][Branch1][=P][O][=S][PH1][S][H][N][#Branch1][=Branch1][Cl][I][=C][C][=C][C][=S][#Branch1],N=SCF,0.49,0.43,81.0,Valid
