Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][C][=C][Branch1][C][N][C][=C][C][S][=Branch1][C][C][Branch1][Branch1][C][Cl][C][=C][O][C][=C][Ring1][Branch1][C][=C][Ring1][I][Branch1][Branch1][=Ring1],CC=C(N)C=CCS(C)(C1Cl)OC=C1C#C,2.87,0.48,257.06,Valid
2,[N][C][C][=C][C][Ring1][N][C][=C][C][=C][C][=C][C][=C][O],N1CC=CC1C=CC=CC=CC=CO,2.25,0.4,189.12,Valid
3,[C][Branch1][Cl][I][C][=C][N][Branch1][C][=C][C][=C][Branch1][C][N],C(I)C=CN(C)C=CN,1.3,0.59,238.0,Valid
4,[C][C][C][C][C][=C][Branch1][C][Br],CCCCC=CBr,3.09,0.56,162.0,Valid
5,,N/A,,,,
6,[C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][Branch1][C][C][C][C][C][C][C][C][N][S][C][=Ring1][C][=S][Ring1][Br],CC1=CC=CC=C2C=CC=C12,3.1,0.53,142.08,Valid
7,[C][Branch1][C][C][C][C][=C][C][C][=C][C][=C][C][=C][Ring1][N],C1(C)CC=CCC=CC=CC=C1,3.64,0.47,160.13,Valid
8,[C][C][=C][C][=C][C][=C][Branch1][C][N][=C][Ring1][=Branch1],CC=CC1=CC=C(N)C1,1.74,0.56,121.09,Valid
9,[C][=C][C][=C][Ring1],C=CC#C,0.81,0.36,52.03,Valid
10,[C][=C][C][=C][#Branch2][Branch1][C][=Branch1][=Ring1][C][C][=C][C][=C][C][N][=C][Ring1][#Branch2][Ring1][Branch1][N][=C][Ring1][Branch1][Cl][I][N][=C][Ring1][=Branch2],C=CC#C,0.81,0.36,52.03,Valid
11,[C][C][C][N][C][C][C][C][C][C][=N][O][=C][Branch1][C][C][C][Ring1][=Branch1][=C][C][=C][C][Branch1][C][=C][=C][C][C][F][=C],CCCNCCCCCC1=NOC(C)C1=CC=CC(C)=CCCF,5.11,0.4,336.26,Valid
12,[C][C][=S][=Branch2][F][=Ring1][S][Branch1][C][C][Cl][=C][C][=C][Ring1][=C][Ring1][=S][=S][=Ring1][=P][Cl][=C][=O][O][C][C][=O][C][C][C],CC=S(S)(C)Cl,1.97,0.29,143.98,Valid
13,[N][C][=C][Branch1][C][=P][#Branch2][N][C][C][Ring1][Branch1][C][C][C][C][=C][C][O][=C][C][C][C][N],NC=C(P)NCCCCCC=CCOCCCCN,2.08,0.28,287.21,Valid
14,[C][=C][Ring1][Branch1][C][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][C][Branch1][=S],C#CCCCC=CC=CC=CC=CC=CC,4.59,0.33,212.16,Valid
15,[O][C][=C][C][=C][C][=C][C][=C][C][=C][C][Branch1][C][N][C][C][C][C][C][N],OC=CC=CC=CC=CC=CC(N)CCCCCN,3.13,0.32,262.2,Valid
16,[C][C][C][C][C][C][C][=N][Branch2][Ring1],CCCCCCC#N,2.48,0.51,111.1,Valid
17,[C][C][Ring1][P][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][=N][=C][C][=C][C][=C][Ring1][N],C=C(O)C=CC=C1C=CC=CC=NCC=CC=C1,3.85,0.58,239.13,Valid
18,[C][=C][C][=C][C][=C][C][=C][C][=Ring1][Branch2][#Branch2][#Branch2],C=C1C=CC=CC=CC1,2.61,0.46,118.08,Valid
19,[Br][N][C][C][=Branch1][C][F][Branch1][C][C],BrNCC(F)CC,1.63,0.63,168.99,Valid
