Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][C][Branch1][C][C][C][C][C][C][P][=C][C][=C][C][=C][NH1][C][=N][N][C][C][=C][Ring1][=Branch1][C][=Branch2][N][H][=N][Branch2][C][=C][PH1][H],CC(C)CCCCP=CC=CC=C[NH1]C1=NNCC=C1C=NC=C[PH1][H],4.48,0.26,376.19,Valid
2,[C][C][C][=C][C][S][N][C][C][=C][C][=O][Branch2][=N][Ring1][Branch1],CCC=CCSNCC=CC=O,1.95,0.22,185.09,Valid
3,[C][C][C][C][C][Br][O][C][Branch1][C][C][C][=C][C][C][C][O],CCCCCBr,2.57,0.43,150.0,Valid
4,[C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][O][C][=C][NH1][C][=N][Ring1][=Branch1][C][=C][NH1][NH1][O],CCCCC(C)CCCCCCOC=C[NH1]C=N,4.45,0.22,254.24,Valid
5,[C][C][Ring1][=Branch1][C][N][C][C][=C][C][Branch1][C][C][C][=C][PH1][=Branch1][C][N][C][=C][Ring1][=N][O],C=CC1NCC=CC(C)C=C[PH1](N)C=C1O,2.34,0.49,239.13,Valid
6,[C][C][C][C][Branch1][C][C][C][C][C][C][O][C][C][C][=C][NH1][C][=N][O][C][=C][NH1][NH1][N][C][=C][NH1][C][Branch1][C][=PH1][=N],CCCC(C)CCCCOCCC=C[NH1]C=NOC=C[NH1][NH1]NC=C[NH1]C([PH1])=N,3.27,0.05,426.27,Valid
7,[C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][N][#Branch2][Ring1][Branch1][C][=P],CCCCC(C)CCCCCCCCCC(C)NC=P,6.2,0.28,299.27,Valid
8,[C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][O][C][=C][Ring1][N][C][Branch1][C][C][=PH1][#N][NH1][#C][#Branch1][Cl][Branch1],CC(C)(C)CCCCCCOC=CC(C)=[PH1]=N[NH1]C,4.7,0.29,286.22,Valid
9,[C][C][Branch1][=C][Ring1],C=C,0.8,0.34,28.03,Valid
10,[C][C][Branch1][C][=P][Br][=O][=Branch2][=N][Ring1][Branch1][C][C][=C][C][O][C][N][=C][Ring1][Branch1],CC(P)Br,1.6,0.35,139.94,Valid
11,[C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][O][C][C][C][=C][NH1][C][=N][=Branch1][=Branch2][C][=C][N][Br][Branch2][#Branch2][C],CCCCCCCCCC(C)CCCCOCCC=C[NH1]C=NC=CNBr,6.84,0.09,443.25,Valid
12,[C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][O][C][=C][NH1][C][=N][I][C][=C][Branch2][N][Branch1][O][C][=O][O],CCCCC(C)CCCCCCOC=C[NH1]C=NI,5.22,0.16,380.13,Valid
13,[C][C][C][Branch1][C][C][Branch1][C][C][C][O][C][C][C][C][=C][NH1][C][O][C][=N][Ring2][C][C][C][=C][NH1][Ring1][Br][N][N][C][=C][PH1],CCC(C)(C)COCCCC=C[NH1]COC#N,2.78,0.36,240.18,Valid
14,[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][C][O],CCCCCCCCCC(=O)NC(C)CCO,3.01,0.55,243.22,Valid
15,[O][C][=C][C][=C][C][=C][C][=C][Branch1][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],OC=CC=CC=CC=C(C)CCC(C)CCCCCCCCCCCCCCCC,10.4,0.11,416.4,Valid
16,[C][C][C][C][C][C][C][C][Branch1][C][O][C][C][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][P][PH1][Branch1][C][#N][H][#Branch1],CCCCCCCC(O)CCCCCCCC(C)CCCCCP[PH1](N)[H],7.51,0.15,406.34,Valid
17,[C][C][O][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Ring2][N],C1COC(C)CCCCCCCCCC(C)CCCCCCCCCCCC1,9.62,0.4,394.42,Valid
18,[C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=C][#Branch1][C][=C][NH1][PH1][=S][=Branch1][C][Branch1][C][Branch1][C],CC(C)(C)CCCCCCCCCCCC=C(C)[NH1][PH1]=SC,6.77,0.21,346.27,Valid
19,[C][C][C][C][=C][C][Branch1][C][C][C][Ring2][Cl],CCCC=CC(C1)C1,2.75,0.49,110.11,Valid
20,[C][Branch1][C][C][C][Branch1][C][C][C][C][O][C][C][C][C][=C][NH1][C][#Branch1][#Branch1][#Branch1][O][C][C][=C][C][C][Branch1][C][=C][NH1][C][C][=C],C(C)C(C)CCOCCCC=C[NH1]C(CC=CCC(C)[NH1]C)C=C,4.82,0.31,336.31,Valid
21,[C][Branch1][C][C][C][C][C][C][C][C][C][N][C][=C][Ring1][Branch1][C][C][Ring1][Branch1],C(C)CCCCCC1CN2C=C1CC2,3.57,0.58,193.18,Valid
22,[C][=C][Ring1][#Branch1][O][C][Branch1][C][C][C][C][C][=C][C][=C][Ring1][#Branch1][O][C][Ring1][Branch1],C#COC(C1)CCC=C2C=C1OC2,1.99,0.57,176.08,Valid
23,[C][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][N][C][Branch1][C][C][C][C][C][C][C][C][C][C][#Branch1][Cl][#Branch2],CCC(C)(C)CCCCCCCCCNC(C)CCCCCCCC,8.27,0.23,353.4,Valid
24,[C][C][C][O][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][Ring2][NH1][Ring1][=Branch1][C][=Branch1][O][C][=C][NH1][=PH1],CCCOC(C)CCCCCCCC1CC1(C)CC=C[NH1][PH1],6.11,0.31,326.26,Valid
25,[C][C][C][C][Ring1][Branch1][C][=N][S],C1CCC1C=NS,1.7,0.39,115.05,Valid
26,[C][Branch1][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=C][NH1][Ring1][=N][Ring1][=N][=Branch2][Branch1],C(C)CC(C)CCCC1CCCCCCCCCC=C[NH1]1,6.59,0.58,293.31,Valid
27,[C][C][=O][O][C][C][N][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C],CC=O,0.21,0.36,44.03,Valid
28,[C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][N][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][O],CCCCC(C)CCCCCCCCCCNC(C)CCCCCCCCCCO,8.8,0.14,425.46,Valid
29,[C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1][Ring1][=Branch1][PH1][PH1][H][=Branch2][=P],CC(C)CCCCCCCC=1CCCCC=1[PH1][PH1][H],6.67,0.33,286.2,Valid
30,[C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][=C][NH1][C][=N][=PH1][Branch2][=O][Br][Branch1][C][Br][Branch1][C][=C][NH1],CC(C)(C)CCCCCCCCCCC=C[NH1]C=N[PH1]CBr,7.01,0.11,390.18,Valid
31,[C][=P][Branch1][C][C][C][Ring1][=N][Ring1][C][Branch1][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],C1=P(C2)C12CCC(C)CCCCCCCCCCCCCCCCC,8.45,0.16,366.34,Valid
32,[C][S][C][#Branch1][Ring1][C][C][C][Branch1][C][C][C][C][O][C][=C][Ring1][=Branch1][C][C][C][Branch1][#Branch1][C][=C][NH1][Ring1][=Branch2][N][Ring1][=P][=N][Branch2][NH1],CSC(CC)C(C1)CCOC=C1CC=C(C=C[NH1])N,3.47,0.76,281.17,Valid
33,[O][=N][C][=C][N][C][C][=C][C][=C][NH1][C][=N][Ring1][Branch1][C][C][O][C][C][=P][I][C][=N][Ring1][=S][=Branch1][C][Br][=C][Br],O=NC=CNCC=CC1=C[NH1]C=N1,1.25,0.53,178.09,Valid
34,[C][H][=C][C][Branch1][C][N][C][Branch1][C][C][C][C][C][C][C][O][C][=C][NH1][C][=N][I][Branch2][#N][#N][=N][Ring1][=P][Branch1][C][#Branch1][=S][=PH1],C[H],0.64,0.36,16.03,Valid
35,[C][C][#C][#Branch1],CC#C,0.64,0.35,40.03,Valid
36,[C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][#C][=PH1][#N][Branch2][H][#N][PH1][Branch2][S][C][Branch1],CCCCC(C)CCCCCCCCCC#C[PH1]#N,6.44,0.23,281.23,Valid
37,[C][C][Branch1][C][C][Branch1][C][C][C][C][O][C][C][C][C][=N][Ring1][Branch1][C][=C][Branch1],CC(C)(C)CCOC1CCC=N1,2.63,0.64,169.15,Valid
38,[C][C][C][O][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][Br][=C][Ring1][Branch1],CCCOCC(C)CCCCCCCCCBr,5.56,0.32,306.16,Valid
39,[C][C][C][C][C][Branch1][C][C][C][C][C][C][O][C][C][=C][Ring1][=Branch1][C][C][C][Branch1],CCCCC(C)CCC1COCC=C1CCC,4.97,0.54,238.23,Valid
40,[C][C][C][C][C][Branch1][C][C][C][C][C][O][C][C][C][=C][Ring1][#Branch2],CCCCC1(C)CCCOCCC=C1,3.94,0.62,196.18,Valid
41,[C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C],CCCCC(C)CCCCCCCCCCC(C)C,7.37,0.29,268.31,Valid
42,[C][C][C][C][Branch1][C][C][C][C][O][C][O][C][C][C][=C][Ring1][Branch1][C][C][C][C][=C][C][=C][C][=C][NH1][O][C][=C][Ring1][Branch1][C],CCCC(C)CCOCOCCC=CCCCC=CC=CC=C1[NH1]OC=C1C,6.35,0.14,389.29,Valid
43,[C][C][C][C][C][C][=C][C][=C][C][=C][C][=C][N][C][C][=C][NH1][C][=N],CCCCCC=CC=CC=CC=CNCC=C[NH1]C=N,4.05,0.22,273.22,Valid
44,[C][C][Ring1][Branch1][C][C][Branch1][C][C][C][C][C][O][C][C][=C][NH1][C][=N][Ring1][O][P][N][=O][Cl][#Branch1][C][C][Branch1][=N][C][C][C][C],C=CCC(C1)CCCOCC=C[NH1]C=N1,2.12,0.71,208.16,Valid
45,[C][C][C][C][C][Branch1][C][C][C][C][C][O][C][C][C][=C][NH1][C][=N][Ring1][Branch1],CCCCC(C)CCCOCCC1=C[NH1]C=N1,3.58,0.63,238.2,Valid
