Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][Ring1][=Branch1][#N][=C][N][H][=N][Br],C#N,0.14,0.37,27.01,Valid
2,[N][=N][C][#Branch1][C],N=NC,0.65,0.39,44.04,Valid
3,[C][=S][S][I][H][=C][S][=S][=S][#N][Br][=P][#Branch2][=P][O][S],C=SSI,1.88,0.3,205.87,Valid
4,[C][O][Ring1][Br][O][=N][#Branch1][F][=P][O][C][O][H][Br],C=O,-0.18,0.36,30.01,Valid
5,[=N][=N],N=N,0.6,0.37,30.02,Valid
6,[C][O][=P][=S][#Branch2][C][C][=S][Branch1][Branch2][N],COP=S(=S)N,0.1,0.4,142.96,Valid
7,[C][=S][P][I][=S][Branch2][Br][=S][S][Br][C][=S][#N][Branch2][O][Ring1][O][Cl][=N][P][C][Ring1][#Branch1][Cl][Cl][=N][=PH1][Ring1][C][=C][O],C=SPI,1.83,0.29,205.88,Valid
8,[C][Ring1][#Branch1][N][=C][=N][Branch2][#N][=P][N][#N][P][=P][Ring1][Ring2][=P][O][O][S][H][=P][#C][=C][=C][#N][Cl][#Branch1][#Branch1][N][Br][H],CN=C=NN=PN=NP=P=POOS[H],4.23,0.16,286.91,Valid
9,[C][=O][#N][#Branch1][S],C=O,-0.18,0.36,30.01,Valid
10,[Branch1][=C][=C][=C][#Branch1][=P][Br][#Branch1][#N][C][Br][=C][=C][#N][=C],C=C=C(Br)NCBr,1.95,0.43,224.88,Valid
11,[C][N][C][S][O][N][N][N][Ring1][C][Branch2][Ring1][#Branch2][#Branch2][Ring1][C][N],C1NCSONN=N1,0.04,0.46,134.03,Valid
12,[C][O][=S][=S][Ring1][=Branch1][Ring2][=S][Br][Branch1][PH1][#Branch2][O][#Branch2],C1OS#S1O,1.01,0.36,111.97,Valid
13,[N][Br][=N][#N][H][=N][=N][H][=C][Ring1],NBr,0.26,0.43,94.94,Valid
14,[C][=C],C=C,0.8,0.34,28.03,Valid
15,[O][Cl][=N][=N][=N][C][C][Branch1][=C][=N][=S][C][N][=P][N][=P][Cl][=P][C][=N][Ring1][Ring1][C][H][Cl][=Branch1][=S][Cl][C][Ring1][=S],OCl,0.13,0.42,51.97,Valid
16,[C][O][H][O][Ring1][P][Ring1][=PH1][=Branch2][C],CO[H],-0.39,0.39,32.03,Valid
17,[C][Ring1],C,0.64,0.36,16.03,Valid
18,[C][=N][=C][O][=S][#N][PH1][#C][F][C][C][#Branch2][=C],C=NCOS#N,0.79,0.3,104.0,Valid
19,[=C][Cl][C][Cl][#Branch1][Cl][PH1][=P][N][Branch2],CCl,0.86,0.36,49.99,Valid
20,[=C][=C][#N][N][H][=S][P][H][Ring1][#Branch2][S][=O][NH1][#N][N][=P][C][=C][#Branch1][#Branch1][#Branch1][N][S][Ring1][=C][=C][Cl][Branch1][=C][=C][=S],C=C=NN[H],-0.28,0.23,56.04,Valid
21,[C][#Branch2][Ring2][Ring1],C,0.64,0.36,16.03,Valid
22,[N][#Branch1][S][#Branch1][N][PH1][=N][#N][Ring1][=S][Cl][PH1][#Branch1][=N][#N],N[PH1]=NNCl,0.38,0.29,111.98,Valid
23,[C][=S][C][=Branch1][=S][=P][#N][#N][#N][=P][I][Br][=S][#N][=S][=Branch1][#N][=P],C=SC(=P)N=NN=PI,2.96,0.21,290.86,Valid
24,[C][=C][Cl],C=CCl,1.37,0.4,61.99,Valid
25,[C],C,0.64,0.36,16.03,Valid
26,[C][#Branch2][=Branch2][S][=N][N][=C][C][#Branch2][#Branch1][C][=N][#Branch2][C][Branch1][=S][=N][S][N][Ring2][N][H][S][=P][=N][O][=P][Cl][=N][#Branch1][=P],C1=NN=CC=NC(N)SN1S=P=NOPCl,1.46,0.36,317.94,Valid
27,[C][=O][#C][N][#Branch2][=S][S][C][O][=S][Branch2][O][=PH1][N][C][C][=C][Cl][=S][=Branch2][Ring1][=S][Cl][H][=O][N][Ring1][=Ring1],C=O,-0.18,0.36,30.01,Valid
28,[C][H][Ring1][#N][Cl][=P][S][P][H][=P][#N][#C][#N][#Branch1][N][C][O][N],C[H],0.64,0.36,16.03,Valid
29,[Branch1][N][=C][S][C][H][H][O][Branch1][=S][H][F][PH1][I][=C][O][Ring1][PH1],N=CSC[H],0.96,0.36,75.01,Valid
30,[C][Cl][=C][C][P][=C][Br][C][NH1][C][#Branch2][=Ring1][S][=N][Branch1][#Branch1][=S][#Branch1][Ring1][#N][C][H][C][Br][=Ring1][=Branch2][=N][=S][=S][Cl][=Ring1],CCl,0.86,0.36,49.99,Valid
31,[C][#Branch2][Br][S][Br][O],CBr,1.01,0.39,93.94,Valid
32,[C],C,0.64,0.36,16.03,Valid
33,[O][=Ring1][Br][Branch1][O][N][O][#N][=O][=P][N][O][PH1][=S][C][H][=C][S][=S][C][=N][N][I][Branch1][H][O][#C][I][C][=C][#N],O,-0.82,0.33,18.01,Valid
34,[C],C,0.64,0.36,16.03,Valid
35,[C][Ring1][#Branch1][#Branch2],C,0.64,0.36,16.03,Valid
36,[C],C,0.64,0.36,16.03,Valid
37,[C][=S][=O][=P][S][Br][Cl][=C],C=S=O,-0.37,0.35,61.98,Valid
38,[C][O][Br],COBr,0.94,0.45,109.94,Valid
39,[C][H][N][Ring1][C][=N][#N][=S][Cl][=S][=N][#Branch2],C[H],0.64,0.36,16.03,Valid
40,[N][PH1][O][=S][=Branch1][=P][=C][P][H][#Branch1][Cl],N[PH1]OS(=C)P[H],0.88,0.46,142.97,Valid
41,[C][Ring1][C][=Branch1][Ring1][=C][=O][=N][#Branch1][=Ring1][=Branch2][Ring1][#N][I][I][#Branch1][Ring1][#N][PH1][Br][#C][NH1][Br],C(=C=O)N,-0.71,0.37,57.02,Valid
42,[C][Cl][C][Ring1][#N][Branch1][#Branch1][Cl][C],CCl,0.86,0.36,49.99,Valid
