Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][P][=C][=Branch2][=C],CP=C,0.99,0.37,60.01,Valid
2,[N][=N][C][#Branch1][C],N=NC,0.65,0.39,44.04,Valid
3,[H][=S][Ring1][H][P][=Branch1][I][=P][Br][#N][Branch1][=N][#Branch1][=C][N][S],[H]SP(=P)Br,2.41,0.43,175.86,Valid
4,[C][N][S][C][O][=P][#Branch1][H][=PH1][N][Br][O][H][=S][S][O][#N][=S][N][C][=S][=C][=N][=C][Cl][O][NH1][N][Br][#N][=C][H],CNSCOP(=[PH1])NBr,1.83,0.26,249.91,Valid
5,[=C][=P],C=P,0.56,0.35,46.0,Valid
6,[C][N][=S][=P][#Branch2][Cl][=S][=P][C][C][N],CN=S=P(=P)CCN,1.3,0.62,168.0,Valid
7,[C][=S][PH1][Br][=S][Branch2][#N][C][Ring1][=P][H][=S][=Branch2][C][O][Ring1][N][Cl][=N][P][F][Ring1][#Branch1][Cl][Cl][=N][=P][S][Br][#Branch1][Ring1][Ring2],C=S[PH1]Br,1.79,0.34,157.9,Valid
8,[C][Ring1][#Branch1][N][=Branch2][Br][C][#N][=P][N][#N][P][=PH1][S],CN(N)PN=NP=[PH1]S,2.05,0.24,200.97,Valid
9,[C][=O][#N][#Branch1][S],C=O,-0.18,0.36,30.01,Valid
10,[=N][=N][=N][=N][#Branch1][=P][=P][#Branch1][#N][C][Br][=N][=N][=Branch2][=S][S][=P][Ring1][#N][O][H][NH1][Br][Cl][C][I][N][Cl][=C][Cl][=Branch2][#Branch1],N=NN=NP=P(C)Br,3.31,0.42,213.92,Valid
11,[C][H][C][S][O][N][NH1][C][P][H][C][Ring1][#Branch2][#Branch2][Ring1][H][O],C[H],0.64,0.36,16.03,Valid
12,[C][N][C][=S][S][=C],CNC=SS=C,0.24,0.27,123.02,Valid
13,[N][Br][=N][#N][I][=C][=N][H][=P][P],NBr,0.26,0.43,94.94,Valid
14,[C][=C],C=C,0.8,0.34,28.03,Valid
15,[Ring1][H][Br][=P][=C][=P][=S][=S][=Branch2][#N][=P][=S][N][=P][O][=P][Cl][=C][Br][=C][N][Ring2][Cl][H][O][#Branch2][=P][C][Branch2][O][=S][=C],[H]Br,0.58,0.4,79.93,Valid
16,[C][N][O][I][PH1][Ring1][Ring1][=PH1][=Branch2][NH1],CNOI,0.49,0.46,172.93,Valid
17,[C][Ring1],C,0.64,0.36,16.03,Valid
18,[C][=N][=C][O][=S][#N][O][#N][Cl][N][C][#Branch2][=C],C=NCOS#N,0.79,0.3,104.0,Valid
19,[=C][F][=P][Cl][#Branch1][Cl][O][=S][I][Branch2],CF,0.59,0.37,34.02,Valid
20,[=C][=C][#N][N][H][=S][P][H][P][#Branch2][S][=PH1][C][#N][N][=P][C][=C][#Branch1][#Branch1][#Branch1][N][Ring1][N][=C][=C][I][Br][=C][=C][Br][=C],C=C=NN[H],-0.28,0.23,56.04,Valid
